26.4585 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
30.8684 	EXP 	Created line1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line1', opacity=1, ori=90.0, pos=array([-150.,    0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
30.8685 	EXP 	window1: mouseVisible = False
30.8696 	EXP 	Created line2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line2', opacity=1, ori=90.0, pos=array([-50.,   0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
30.8697 	EXP 	window1: mouseVisible = False
30.8708 	EXP 	Created line3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line3', opacity=1, ori=90.0, pos=array([50.,  0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
30.8709 	EXP 	window1: mouseVisible = False
30.8718 	EXP 	Created line4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line4', opacity=1, ori=90.0, pos=array([150.,   0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
30.8718 	EXP 	window1: mouseVisible = False
30.8729 	EXP 	Created probe = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='probe', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0060 	EXP 	Imported C:/Users/Jash/Downloads/PsychoPy/Motor Sequence Learning/sequnce_con.xlsx as conditions, 4 conditions, 2 params
0.0078 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'pos': 150, 'corr_resp': 'v', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0100 	EXP 	fixation: autoDraw = True
1.0056 	EXP 	line1: autoDraw = True
1.0056 	EXP 	line2: autoDraw = True
1.0056 	EXP 	line3: autoDraw = True
1.0056 	EXP 	line4: autoDraw = True
1.0223 	EXP 	fixation: autoDraw = False
2.0059 	INFO 	Keyboard events cleared
2.0051 	EXP 	probe: autoDraw = True
5.6499 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'pos': -50, 'corr_resp': 'x', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
5.6512 	DATA 	Keypress: space
5.6528 	EXP 	fixation: autoDraw = False
5.6528 	EXP 	line1: autoDraw = False
5.6528 	EXP 	line2: autoDraw = False
5.6528 	EXP 	line3: autoDraw = False
5.6528 	EXP 	line4: autoDraw = False
5.6528 	EXP 	probe: autoDraw = False
5.6528 	EXP 	fixation: autoDraw = True
6.6190 	DATA 	Keypress: space
6.6512 	EXP 	line1: autoDraw = True
6.6512 	EXP 	line2: autoDraw = True
6.6512 	EXP 	line3: autoDraw = True
6.6512 	EXP 	line4: autoDraw = True
6.6676 	EXP 	fixation: autoDraw = False
7.1191 	DATA 	Keypress: space
7.6510 	INFO 	Keyboard events cleared
7.6504 	EXP 	probe: autoDraw = True
8.7179 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'pos': 50, 'corr_resp': 'c', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
8.7192 	DATA 	Keypress: z
8.7328 	EXP 	fixation: autoDraw = False
8.7328 	EXP 	line1: autoDraw = False
8.7328 	EXP 	line2: autoDraw = False
8.7328 	EXP 	line3: autoDraw = False
8.7328 	EXP 	line4: autoDraw = False
8.7328 	EXP 	probe: autoDraw = False
8.7328 	EXP 	fixation: autoDraw = True
9.7321 	EXP 	fixation: autoDraw = False
9.7321 	EXP 	line1: autoDraw = True
9.7321 	EXP 	line2: autoDraw = True
9.7321 	EXP 	line3: autoDraw = True
9.7321 	EXP 	line4: autoDraw = True
9.8499 	DATA 	Keypress: x
10.3657 	DATA 	Keypress: c
10.7313 	INFO 	Keyboard events cleared
10.7311 	EXP 	probe: autoDraw = True
11.3654 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'pos': -150, 'corr_resp': 'z', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
11.3670 	DATA 	Keypress: x
11.3811 	EXP 	fixation: autoDraw = False
11.3811 	EXP 	line1: autoDraw = False
11.3811 	EXP 	line2: autoDraw = False
11.3811 	EXP 	line3: autoDraw = False
11.3811 	EXP 	line4: autoDraw = False
11.3811 	EXP 	probe: autoDraw = False
11.3811 	EXP 	fixation: autoDraw = True
11.4652 	DATA 	Keypress: z
11.8484 	DATA 	Keypress: z
12.0979 	DATA 	Keypress: x
12.3799 	EXP 	line1: autoDraw = True
12.3799 	EXP 	line2: autoDraw = True
12.3799 	EXP 	line3: autoDraw = True
12.3799 	EXP 	line4: autoDraw = True
12.3966 	EXP 	fixation: autoDraw = False
12.4308 	DATA 	Keypress: v
12.7312 	DATA 	Keypress: v
13.0479 	DATA 	Keypress: x
13.3794 	INFO 	Keyboard events cleared
13.3789 	EXP 	probe: autoDraw = True
14.2295 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'pos': 150, 'corr_resp': 'v', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
14.2306 	DATA 	Keypress: x
14.2449 	EXP 	fixation: autoDraw = False
14.2449 	EXP 	line1: autoDraw = False
14.2449 	EXP 	line2: autoDraw = False
14.2449 	EXP 	line3: autoDraw = False
14.2449 	EXP 	line4: autoDraw = False
14.2449 	EXP 	probe: autoDraw = False
14.2449 	EXP 	fixation: autoDraw = True
15.2442 	EXP 	fixation: autoDraw = False
15.2442 	EXP 	line1: autoDraw = True
15.2442 	EXP 	line2: autoDraw = True
15.2442 	EXP 	line3: autoDraw = True
15.2442 	EXP 	line4: autoDraw = True
15.6292 	DATA 	Keypress: escape
15.7113 	EXP 	Motor_Sequence_Learning: status = STOPPED
15.7274 	EXP 	line1: autoDraw = False
15.7274 	EXP 	line2: autoDraw = False
15.7274 	EXP 	line3: autoDraw = False
15.7274 	EXP 	line4: autoDraw = False
15.7276 	EXP 	Motor_Sequence_Learning: status = STOPPED
15.7326 	INFO 	saved data to 'C:\\Users\\Jash\\Downloads\\PsychoPy\\Motor Sequence Learning\\data/420818_Motor_Sequence_Learning_2024-11-12_15h11.36.478.csv'
15.7344 	INFO 	saved data to C:\Users\Jash\Downloads\PsychoPy\Motor Sequence Learning\data/420818_Motor_Sequence_Learning_2024-11-12_15h11.36.478.psydat
15.8378 	EXP 	window1: mouseVisible = True
